2025-02-19 17:43:04,484 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 17:55:01,816 | MainThread           | ptinfra          | INFO : Open thread ElasticQueueThread, id: 36600
2025-02-19 17:55:01,816 | MainThread           | ptinfra          | INFO : Open thread SystemTimers, id: 10928
2025-02-19 17:55:01,816 | MainThread           | ptinfra          | INFO : sending shutdown to ElasticQueueThread
2025-02-19 17:55:01,816 | MainThread           | ptinfra.elastic  | INFO : Requested to stop
2025-02-19 17:55:01,815 | ElasticQueueThread   | ptinfra.elastic  | INFO : Abort requested
2025-02-19 17:55:01,817 | ElasticQueueThread   | ptinfra.elastic  | INFO : Queue thread done
2025-02-19 17:55:27,500 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 17:55:27,502 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 17:55:28,788 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 17:55:29,265 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 17:55:30,032 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 17:55:30,752 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 17:55:31,301 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:00:46,772 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 18:00:46,772 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 31912
2025-02-19 18:00:46,773 | ElasticQueueThread   | ptinfra.elastic  | INFO : Abort requested
2025-02-19 18:00:46,773 | SystemTimers         | ptinfra.timer    | INFO : Timer thread done.
2025-02-19 18:00:46,773 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 24536
2025-02-19 18:00:46,774 | ElasticQueueThread   | ptinfra.elastic  | INFO : Queue thread done
2025-02-19 18:00:46,774 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 8212
2025-02-19 18:00:46,775 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 20196
2025-02-19 18:00:46,775 | MainThread           | ptinfra          | INFO : Open thread ElasticQueueThread, id: 12576
2025-02-19 18:00:46,775 | MainThread           | ptinfra          | INFO : Open thread SystemTimers, id: 40468
2025-02-19 18:00:46,775 | MainThread           | ptinfra          | INFO : sending shutdown to ElasticQueueThread
2025-02-19 18:00:46,775 | MainThread           | ptinfra.elastic  | INFO : Requested to stop
2025-02-19 18:01:01,500 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:01:01,501 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:01:01,976 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:01:02,446 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:01:03,190 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:01:03,913 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:01:04,187 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:02:42,792 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 35512
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 1656
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 31576
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 37328
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread ElasticQueueThread, id: 26432
2025-02-19 18:02:42,793 | SystemTimers         | ptinfra.timer    | INFO : Timer thread done.
2025-02-19 18:02:42,793 | MainThread           | ptinfra          | INFO : Open thread SystemTimers, id: 40400
2025-02-19 18:02:42,793 | ElasticQueueThread   | ptinfra.elastic  | INFO : Abort requested
2025-02-19 18:02:42,794 | MainThread           | ptinfra          | INFO : sending shutdown to ElasticQueueThread
2025-02-19 18:02:42,794 | ElasticQueueThread   | ptinfra.elastic  | INFO : Queue thread done
2025-02-19 18:02:42,794 | MainThread           | ptinfra.elastic  | INFO : Requested to stop
2025-02-19 18:03:43,062 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:03:43,063 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:03:43,580 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:03:44,023 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:03:44,715 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:03:45,394 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:03:45,607 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:06:28,392 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:06:28,394 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:06:29,076 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:06:29,548 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:06:30,235 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:06:30,907 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:06:31,095 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:06:48,594 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 18:11:17,457 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:11:17,458 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:11:17,952 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:11:18,395 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:11:19,072 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:11:19,777 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:11:19,964 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:11:45,228 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 18:33:54,589 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:33:54,591 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:33:55,066 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:33:55,528 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:33:56,190 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:33:56,989 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:33:57,162 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 18:34:11,266 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 18:34:11,267 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 18:35:21,889 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 18:35:21,889 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 38892
2025-02-19 18:35:21,889 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 19804
2025-02-19 18:35:21,889 | ElasticQueueThread   | ptinfra.elastic  | INFO : Abort requested
2025-02-19 18:35:21,889 | SystemTimers         | ptinfra.timer    | INFO : Timer thread done.
2025-02-19 18:35:21,891 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 20368
2025-02-19 18:35:21,891 | ElasticQueueThread   | ptinfra.elastic  | INFO : Queue thread done
2025-02-19 18:35:21,892 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 39128
2025-02-19 18:35:21,892 | MainThread           | ptinfra          | INFO : Open thread ElasticQueueThread, id: 19884
2025-02-19 18:35:21,892 | MainThread           | ptinfra          | INFO : Open thread SystemTimers, id: 38440
2025-02-19 18:35:21,893 | MainThread           | ptinfra          | INFO : sending shutdown to ElasticQueueThread
2025-02-19 18:35:21,893 | MainThread           | ptinfra.elastic  | INFO : Requested to stop
2025-02-19 18:35:33,435 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 18:35:33,436 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 18:35:34,085 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 18:35:34,945 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 18:35:35,604 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 18:35:36,614 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 18:35:36,844 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 19:31:35,358 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 19:31:35,513 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 19:34:35,937 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 19:34:35,938 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 19:34:36,438 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 19:34:36,910 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 19:34:37,626 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 19:34:41,443 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 19:34:41,636 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 19:34:47,693 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 19:34:47,740 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 19:42:29,083 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 19:42:29,084 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 19:42:29,582 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 19:42:30,254 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 19:42:31,183 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 19:42:32,206 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 19:42:32,464 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 19:42:44,048 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 19:42:44,048 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:00:20,454 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:00:20,456 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:00:21,061 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:00:21,519 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:00:22,546 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:00:23,244 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:00:23,506 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:00:30,272 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:00:30,282 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:03:20,709 | MainThread           | ptinfra          | CRITI: Recived SIGINT (Ctrl+C)!
2025-02-19 20:03:20,710 | MainThread           | ptinfra          | INFO : Open thread MainThread, id: 24492
2025-02-19 20:03:20,710 | SystemTimers         | ptinfra.timer    | INFO : Timer thread done.
2025-02-19 20:03:20,710 | ElasticQueueThread   | ptinfra.elastic  | INFO : Abort requested
2025-02-19 20:03:20,712 | ElasticQueueThread   | ptinfra.elastic  | INFO : Queue thread done
2025-02-19 20:03:20,711 | MainThread           | ptinfra          | INFO : Open thread pydevd.Writer, id: 41276
2025-02-19 20:03:20,712 | MainThread           | ptinfra          | INFO : Open thread pydevd.Reader, id: 19524
2025-02-19 20:03:20,712 | MainThread           | ptinfra          | INFO : Open thread pydevd.CommandThread, id: 41672
2025-02-19 20:03:20,713 | MainThread           | ptinfra          | INFO : Open thread ElasticQueueThread, id: 6844
2025-02-19 20:03:20,713 | MainThread           | ptinfra          | INFO : Open thread SystemTimers, id: 20364
2025-02-19 20:03:20,713 | MainThread           | ptinfra          | INFO : sending shutdown to ElasticQueueThread
2025-02-19 20:03:20,713 | MainThread           | ptinfra.elastic  | INFO : Requested to stop
2025-02-19 20:03:41,335 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:03:41,337 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:03:42,427 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:03:43,057 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:03:44,018 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:03:44,835 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:03:45,412 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:03:46,357 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:03:46,388 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:04:27,197 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:04:27,197 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:04:27,197 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:04:27,198 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:04:27,198 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:04:27,198 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:04:27,198 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:04:27,804 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:04:27,804 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:04:27,804 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:04:27,804 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:04:28,235 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:04:28,237 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:04:28,245 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:04:28,256 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:04:28,950 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:04:28,951 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:04:28,951 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:04:28,951 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:04:29,620 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:04:29,623 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:04:29,624 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:04:29,633 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:04:29,901 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:04:29,901 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:04:29,902 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:04:29,902 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:08:53,026 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:08:53,028 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:08:53,612 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:08:54,214 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:08:55,191 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:08:56,076 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:08:56,346 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:09:53,759 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:09:53,921 | ThreadPoolExecutor-0 | ptinfra.config   | INFO : got OK from getStorage/ptstorage_17
2025-02-19 20:10:46,453 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:10:46,454 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:10:46,463 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:10:46,463 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:10:46,601 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:10:46,602 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:10:46,619 | MainThread           | ptinfra.config   | INFO : using secret file: C:\Users\karmel\Desktop\AlbumDesigner\ImageSelectionAPI\.secrets.yml
2025-02-19 20:10:46,620 | MainThread           | ptinfra.config   | INFO : connection string file C:\Users\karmel\Desktop\AlbumDesigner\venv\Lib\site-packages\queueconnectionstring does not exist.
2025-02-19 20:10:46,897 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:10:46,903 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:10:47,039 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:10:47,056 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting/ai_settings_audiobeat.json.txt
2025-02-19 20:10:47,545 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:10:47,547 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:10:47,705 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:10:47,720 | MainThread           | ptinfra.config   | INFO : got OK from getStorage/ptstorage_0
2025-02-19 20:10:48,537 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:10:48,553 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:10:48,654 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:10:48,789 | MainThread           | ptinfra.config   | INFO : reading hosting settings from /ptinternal/pictures/hosting\ai_settings_common.json.txt
2025-02-19 20:10:49,284 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:10:49,284 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:10:49,407 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:10:49,545 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:10:49,547 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
2025-02-19 20:10:49,569 | MainThread           | ptinfra.config   | INFO : got OK from getElastic/main
2025-02-19 20:10:49,644 | MainThread           | ptinfra          | INFO : adding shutdown callback ElasticQueueThread
